drug_candidate_id,cannonical_smiles,fasta_sequence_if_one_exists,pdb_filepath,pdbqt_filepath,drug_candidate_group_name,drug_type,generation,functional_group,chemical_formula,rdkit_synthetic_accessibility_score,rdkit_molecular_weight,rdkit_logp,rdkit_lipinski_ro5_violations,rdkit_qed_drug_likeness_rule_violations,rdkit_ghose_rule_violations,rdkit_veber_rule_violations,rdkit_reos_rule_violations,rdkit_rule_of_3_violations,rdkit_h_bond_donors,rdkit_h_bond_acceptors,rdkit_rotatable_bonds,rdkit_num_atoms,rdkit_molar_refractivity,rdkit_topological_polar_surface_area_mapping,rdkit_formal_charge,rdkit_num_heavy_atoms,rdkit_num_rings,project_id,run_created_or_discovered_id,Passed PAINS Filter,PAINS Substructure Matches,Passed BRENK Filter,BRENK Substructure Matches,AutoDockVina Minimum Best Pose Binding Energy,AutoDockVina Average Top 9 Poses Binding Energy,AutoDockVina Docking Log Output File,AutoDockVina Docking Configuration PDBQT Output File,Predicted Probability of Synthetic Success,Retrosynthesis Was Solved,Retrosynthesis Number of Precursors,Retrosynthesis Number of Steps,Retrosynthesis Precursors List
1268334,Cc1cc(CNC(=O)Nc2ccc(C)c(C)c2)nc(NC(=O)c2cccc(NC(=O)c3ccccc3)n2)n1,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268334/input_pdb_1268334.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268334/input_pdbqt_1268334.pdbqt,AI-Designed,SMALL_MOLECULE,17,,C28H27N7O3,2.437216736,509.2175377,4.62316,1,2,2,0,1,5,4,6,7,38,145.1288,138,0,38,4,98,195,TRUE,,TRUE,,-13.5,-11.97777778,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268334/AutoDockVinaDockingLogOutputFile_1268334.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268334/AutoDockVinaDockingConfigurationPDBQTOutputFile_1268334.pdbqt,0.955960146,TRUE,4,6,"O=C(Cl)c1ccccc1, CC(C)(C)OC(=O)Nc1cccc(C(=O)O)n1, Cc1ccc(N)cc1C, Cc1cc(C#N)nc(N)n1"
1268694,Cc1cccc(CNC(=O)c2ccc(NC(=O)c3ccc(CNC(=O)Nc4ccc(C)c(F)c4)nc3)nn2)c1,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268694/input_pdb_1268694.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268694/input_pdbqt_1268694.pdbqt,AI-Designed,SMALL_MOLECULE,18,Halogen,C28H26FN7O3,2.49440783,527.2081159,4.13154,1,2,2,0,1,5,4,6,8,39,143.5668,138,0,39,4,98,195,TRUE,,TRUE,,-13.2,-11.4,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268694/AutoDockVinaDockingLogOutputFile_1268694.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268694/AutoDockVinaDockingConfigurationPDBQTOutputFile_1268694.pdbqt,0.975,TRUE,5,4,"CC(C)(C)OC(=O)Nc1ccc(C(=O)O)nn1, Cc1cccc(CN)c1, COC(=O)c1ccc(CN)nc1, Cc1ccc(N)cc1F, O=C(Cl)Oc1ccccc1"
1269232,Cc1ccc(C(=O)N2CCN(C(=O)Nc3ccc(C(=O)NCc4ccc(C)c(F)c4)nn3)CC2)cc1,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1269232/input_pdb_1269232.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1269232/input_pdbqt_1269232.pdbqt,AI-Designed,SMALL_MOLECULE,18,Halogen,C26H27FN6O3,2.34413901,490.2128669,3.15244,0,2,2,0,0,4,2,5,5,36,132.0134,107.53,0,36,4,98,195,TRUE,,TRUE,,-13.1,-11.48,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1269232/AutoDockVinaDockingLogOutputFile_1269232.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1269232/AutoDockVinaDockingConfigurationPDBQTOutputFile_1269232.pdbqt,0.975,TRUE,4,4,"Cc1ccc(C(=O)Cl)cc1, Cc1ccc(CN)cc1F, CC(C)(C)OC(=O)N1CCN(C(N)=O)CC1, COC(=O)c1ccc(Cl)nn1"
1266152,Cc1ccc(NC(=O)NCC(=O)Nc2cccc(NC(=O)c3cccc(NC(=O)c4ccccc4)n3)c2)cc1,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1266152/input_pdb_1266152.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1266152/input_pdbqt_1266152.pdbqt,AI-Designed,SMALL_MOLECULE,15,,C29H26N6O4,2.184343062,522.2015533,4.65482,1,2,2,1,1,5,5,5,8,39,149.8575,141.32,0,39,4,98,195,TRUE,,TRUE,,-13,-11.47777778,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1266152/AutoDockVinaDockingLogOutputFile_1266152.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1266152/AutoDockVinaDockingConfigurationPDBQTOutputFile_1266152.pdbqt,0.963447071,TRUE,5,5,"Cc1ccc(N=C=O)cc1, O=C(Cl)c1ccccc1, Nc1cccc(C(=O)O)n1, Nc1cccc([N+](=O)[O-])c1, O=C(O)CN1C(=O)c2ccccc2C1=O"
1264212,Cc1ccc(Nc2ccc(C(=O)NCC(=O)Nc3nccc(NC(=O)c4ccccc4C(=O)Nc4cccc(F)c4)n3)cn2)cc1,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1264212/input_pdb_1264212.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1264212/input_pdbqt_1264212.pdbqt,AI-Designed,SMALL_MOLECULE,13,Halogen,C33H27FN8O4,2.626507687,618.2139296,4.93582,1,2,2,1,2,5,5,8,10,46,170.442,167.1,0,46,5,98,195,TRUE,,TRUE,,-13,-11.78888889,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1264212/AutoDockVinaDockingLogOutputFile_1264212.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1264212/AutoDockVinaDockingConfigurationPDBQTOutputFile_1264212.pdbqt,0.963447071,TRUE,6,5,"COC(=O)c1ccc(Cl)nc1, Cc1ccc(N)cc1, CC(C)(C)OC(=O)NCC(=O)O, Nc1ccnc(N)n1, Nc1cccc(F)c1, O=C1OC(=O)c2ccccc21"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,-13,-11.8,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1266200/AutoDockVinaDockingLogOutputFile_1266200.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1266200/AutoDockVinaDockingConfigurationPDBQTOutputFile_1266200.pdbqt,0.963447071,TRUE,5,5,"Nc1cccc(NC(=O)c2ccccc2)n1, Cc1ccc(N)cc1OCc1ccccc1, O=C(Cl)Oc1ccccc1, N#Cc1cc(O)ccn1, O=C(Cl)Cl"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,-12.9,-11.83333333,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268807/AutoDockVinaDockingLogOutputFile_1268807.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268807/AutoDockVinaDockingConfigurationPDBQTOutputFile_1268807.pdbqt,0.986552929,TRUE,4,3,"Cc1cc(N)nc(C(C)C)n1, Nc1cc(Cl)nc(N)n1, COC(=O)c1ccc(CN)cn1, Cc1ccc(N=C=O)cc1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,-12.9,-12.25,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1261206/AutoDockVinaDockingLogOutputFile_1261206.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1261206/AutoDockVinaDockingConfigurationPDBQTOutputFile_1261206.pdbqt,0.986552929,TRUE,4,3,"O=C(Cl)c1ccccc1, Cc1cccc(NC(=O)N2CCNCC2)c1, Nc1cccc(N)n1, O=C(Cl)Oc1ccccc1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,-12.9,-11.7,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1264852/AutoDockVinaDockingLogOutputFile_1264852.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1264852/AutoDockVinaDockingConfigurationPDBQTOutputFile_1264852.pdbqt,0.963447071,TRUE,4,5,"O=C(Cl)c1ccccc1, CC(C)(C)OC(=O)Nc1cccc(C(=O)O)n1, Cc1cccc(CN)c1, CCOC(=O)Cc1ccnc(N)n1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,-12.8,-11.54444444,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1259363/AutoDockVinaDockingLogOutputFile_1259363.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1259363/AutoDockVinaDockingConfigurationPDBQTOutputFile_1259363.pdbqt,0.952371294,TRUE,8,7,"O=C(Cl)c1ccc(Cl)nn1, O=C(c1ccco1)N1CCCNCC1, Cc1ccc([N+](=O)[O-])cc1O, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, Nc1cnc(Cl)cn1, Cc1ccc(N)nc1C, Clc1ccnc(Cl)n1, O=C1CCNC1"
