ID,SMILES,Gen,FuncGroup,Formula,SAScore,MolWt,LogP,LipinskiViolations,QEDViolations,GhoseViolations,VeberViolations,REOSViolations,RuleOf3Violations,HDonors,HAcceptors,RotBonds,NumAtoms,MolarRefractivity,TPSA,FormalCharge,NumHeavyAtoms,NumRings,PAINSFilter,BRENKFilter,BRENKMatches,MinBindingEnergy,AvgBindingEnergy,SynthSuccessProb,RetroSolved,RetroPrecursors,RetroSteps,image_path
1351882,O=C(Nc1cc(-c2cccc(-c3cccc(-c4nn[nH]n4)c3)c2)ccn1)c1cccc(-c2cccc(-c3cccc(-c4nnn[nH]4)c3)c2)c1,10.0,,C38H26N10O,3.0,638.2,7.4,2.0,3.0,3.0,1.0,2.0,4.0,3.0,8.0,8.0,49.0,186.7,150.9,0.0,49.0,8.0,True,True,,-11.2,-10.5,0.956,True,7.0,6.0,z_tmp/DSX_Strctures/1351882.png
1351685,O=C(Nc1cccc(-c2ccnc(NC(=O)c3cccc(-c4cccc(-c5nn[nH]n5)c4)c3)c2)c1)Nc1nn[nH]n1,10.0,,C27H20N12O2,2.7,544.2,4.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,9.0,7.0,41.0,149.5,192.0,0.0,41.0,6.0,True,True,,-11.2,-10.2,0.952,True,6.0,7.0,z_tmp/DSX_Strctures/1351685.png
1351677,O=C(Nc1cc(-c2cccc(-c3nn[nH]n3)c2)cnn1)c1cccc(-c2cccc(-c3cccc(-c4nn[nH]n4)c3)c2)c1,10.0,,C31H21N11O,2.9,563.2,5.1,2.0,3.0,2.0,1.0,2.0,4.0,3.0,9.0,7.0,43.0,159.1,163.8,0.0,43.0,7.0,True,True,,-11.1,-10.3,0.963,True,6.0,5.0,z_tmp/DSX_Strctures/1351677.png
1351367,O=C(Nc1nncc(-c2cccc(-c3cccc(-c4nn[nH]n4)c3)c2)n1)c1cccc(-c2cccc(-c3nn[nH]n3)c2)c1,10.0,,C30H20N12O,2.9,564.2,4.5,1.0,2.0,2.0,1.0,1.0,4.0,3.0,10.0,7.0,43.0,156.9,176.7,0.0,43.0,7.0,True,True,,-11.0,-10.2,0.963,True,4.0,5.0,z_tmp/DSX_Strctures/1351367.png
1351302,O=C(Nc1cc(-c2cccc(-c3nn[nH]n3)c2)ccn1)c1cccc(-c2cccc(-c3cccc(-c4nn[nH]n4)c3)c2)c1,10.0,,C32H22N10O,2.7,562.2,5.7,2.0,3.0,3.0,1.0,2.0,4.0,3.0,8.0,7.0,43.0,161.3,150.9,0.0,43.0,7.0,True,True,,-11.0,-10.1,0.963,True,4.0,5.0,z_tmp/DSX_Strctures/1351302.png
1351780,O=C(Nc1cccc(-c2cccc(NC(=O)c3cccc(-c4nn[nH]n4)c3)c2)c1)Nc1ccc(Oc2cccc(-c3nn[nH]n3)c2)cn1,10.0,,C33H24N12O3,2.9,636.2,5.8,2.0,3.0,3.0,1.0,3.0,5.0,5.0,10.0,9.0,48.0,176.0,201.3,0.0,48.0,7.0,True,True,,-11.0,-10.5,0.956,True,5.0,6.0,z_tmp/DSX_Strctures/1351780.png
1351238,O=C(Nc1cccc(-c2cccc(NC(=O)c3cccc(-c4nn[nH]n4)c3)c2)c1)Nc1ccc(-c2nn[nH]n2)nn1,10.0,,C26H19N13O2,2.8,545.2,3.4,1.0,2.0,2.0,1.0,1.0,5.0,5.0,10.0,7.0,41.0,147.3,204.9,0.0,41.0,6.0,True,True,,-10.9,-9.7,0.963,True,4.0,5.0,z_tmp/DSX_Strctures/1351238.png
1351358,O=C(Nc1cccc(-c2cccc(S(=O)(=O)c3cccc(-c4nn[nH]n4)c3)c2)c1)Nc1ccc(-c2nn[nH]n2)cn1,10.0,,C26H19N11O3S,2.8,565.1,3.6,1.0,2.0,2.0,1.0,1.0,5.0,4.0,10.0,7.0,41.0,147.0,197.1,0.0,41.0,6.0,True,True,,-10.9,-10.0,0.975,True,4.0,4.0,z_tmp/DSX_Strctures/1351358.png
1351157,O=C(Nc1cccc(-c2cccc(NC(=O)c3cccc(-c4nn[nH]n4)c3)c2)c1)Nc1ccc(-c2nn[nH]n2)cn1,10.0,,C27H20N12O2,2.7,544.2,4.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,9.0,7.0,41.0,149.5,192.0,0.0,41.0,6.0,True,True,,-10.9,-9.7,0.963,True,4.0,5.0,z_tmp/DSX_Strctures/1351157.png
1351562,O=C(Nc1nn[nH]n1)c1cccc(-c2cccc(C(=O)Nc3nncc(-c4cccc(-c5nn[nH]n5)c4)n3)c2)c1,10.0,,C25H17N13O2,2.8,531.2,2.4,2.0,3.0,2.0,1.0,2.0,4.0,4.0,11.0,7.0,40.0,140.4,205.8,0.0,40.0,6.0,True,True,,-10.9,-9.8,0.963,True,5.0,5.0,z_tmp/DSX_Strctures/1351562.png
