drug_candidate_id,cannonical_smiles,fasta_sequence_if_one_exists,pdb_filepath,pdbqt_filepath,drug_candidate_group_name,drug_type,generation,functional_group,chemical_formula,rdkit_synthetic_accessibility_score,rdkit_molecular_weight,rdkit_logp,rdkit_lipinski_ro5_violations,rdkit_qed_drug_likeness_rule_violations,rdkit_ghose_rule_violations,rdkit_veber_rule_violations,rdkit_reos_rule_violations,rdkit_rule_of_3_violations,rdkit_h_bond_donors,rdkit_h_bond_acceptors,rdkit_rotatable_bonds,rdkit_num_atoms,rdkit_molar_refractivity,rdkit_topological_polar_surface_area_mapping,rdkit_formal_charge,rdkit_num_heavy_atoms,rdkit_num_rings,project_id,run_created_or_discovered_id,Passed PAINS Filter,PAINS Substructure Matches,Passed BRENK Filter,BRENK Substructure Matches,AutoDockVina Minimum Best Pose Binding Energy,AutoDockVina Average Top 9 Poses Binding Energy,AutoDockVina Docking Log Output File,AutoDockVina Docking Configuration PDBQT Output File,Predicted Probability of Synthetic Success,Retrosynthesis Was Solved,Retrosynthesis Number of Precursors,Retrosynthesis Number of Steps,Retrosynthesis Precursors List
1268334,Cc1cc(CNC(=O)Nc2ccc(C)c(C)c2)nc(NC(=O)c2cccc(NC(=O)c3ccccc3)n2)n1,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268334/input_pdb_1268334.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268334/input_pdbqt_1268334.pdbqt,AI-Designed,SMALL_MOLECULE,17,,C28H27N7O3,2.437216736117593,509.21753772400007,4.623160000000003,1,2,2,0,1,5,4,6,7,38,145.1287999999998,138.0,0,38,4,98,195,True,,True,,-13.5,-11.97777777777778,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268334/AutoDockVinaDockingLogOutputFile_1268334.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268334/AutoDockVinaDockingConfigurationPDBQTOutputFile_1268334.pdbqt,0.9559601461011058,True,4,6,"O=C(Cl)c1ccccc1, CC(C)(C)OC(=O)Nc1cccc(C(=O)O)n1, Cc1ccc(N)cc1C, Cc1cc(C#N)nc(N)n1"
1268694,Cc1cccc(CNC(=O)c2ccc(NC(=O)c3ccc(CNC(=O)Nc4ccc(C)c(F)c4)nc3)nn2)c1,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268694/input_pdb_1268694.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268694/input_pdbqt_1268694.pdbqt,AI-Designed,SMALL_MOLECULE,18,Halogen,C28H26FN7O3,2.494407830059416,527.2081159120002,4.131540000000002,1,2,2,0,1,5,4,6,8,39,143.5667999999999,138.0,0,39,4,98,195,True,,True,,-13.2,-11.4,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268694/AutoDockVinaDockingLogOutputFile_1268694.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268694/AutoDockVinaDockingConfigurationPDBQTOutputFile_1268694.pdbqt,0.975,True,5,4,"CC(C)(C)OC(=O)Nc1ccc(C(=O)O)nn1, Cc1cccc(CN)c1, COC(=O)c1ccc(CN)nc1, Cc1ccc(N)cc1F, O=C(Cl)Oc1ccccc1"
1269232,Cc1ccc(C(=O)N2CCN(C(=O)Nc3ccc(C(=O)NCc4ccc(C)c(F)c4)nn3)CC2)cc1,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1269232/input_pdb_1269232.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1269232/input_pdbqt_1269232.pdbqt,AI-Designed,SMALL_MOLECULE,18,Halogen,C26H27FN6O3,2.344139009915791,490.2128669440001,3.152440000000001,0,2,2,0,0,4,2,5,5,36,132.01339999999996,107.53,0,36,4,98,195,True,,True,,-13.1,-11.48,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1269232/AutoDockVinaDockingLogOutputFile_1269232.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1269232/AutoDockVinaDockingConfigurationPDBQTOutputFile_1269232.pdbqt,0.975,True,4,4,"Cc1ccc(C(=O)Cl)cc1, Cc1ccc(CN)cc1F, CC(C)(C)OC(=O)N1CCN(C(N)=O)CC1, COC(=O)c1ccc(Cl)nn1"
1266152,Cc1ccc(NC(=O)NCC(=O)Nc2cccc(NC(=O)c3cccc(NC(=O)c4ccccc4)n3)c2)cc1,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1266152/input_pdb_1266152.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1266152/input_pdbqt_1266152.pdbqt,AI-Designed,SMALL_MOLECULE,15,,C29H26N6O4,2.184343061719648,522.201553312,4.654820000000003,1,2,2,1,1,5,5,5,8,39,149.85749999999982,141.32,0,39,4,98,195,True,,True,,-13.0,-11.47777777777778,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1266152/AutoDockVinaDockingLogOutputFile_1266152.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1266152/AutoDockVinaDockingConfigurationPDBQTOutputFile_1266152.pdbqt,0.9634470710684996,True,5,5,"Cc1ccc(N=C=O)cc1, O=C(Cl)c1ccccc1, Nc1cccc(C(=O)O)n1, Nc1cccc([N+](=O)[O-])c1, O=C(O)CN1C(=O)c2ccccc2C1=O"
1264212,Cc1ccc(Nc2ccc(C(=O)NCC(=O)Nc3nccc(NC(=O)c4ccccc4C(=O)Nc4cccc(F)c4)n3)cn2)cc1,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1264212/input_pdb_1264212.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1264212/input_pdbqt_1264212.pdbqt,AI-Designed,SMALL_MOLECULE,13,Halogen,C33H27FN8O4,2.6265076865616184,618.2139295639998,4.935820000000002,1,2,2,1,2,5,5,8,10,46,170.44199999999978,167.09999999999997,0,46,5,98,195,True,,True,,-13.0,-11.78888888888889,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1264212/AutoDockVinaDockingLogOutputFile_1264212.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1264212/AutoDockVinaDockingConfigurationPDBQTOutputFile_1264212.pdbqt,0.9634470710684996,True,6,5,"COC(=O)c1ccc(Cl)nc1, Cc1ccc(N)cc1, CC(C)(C)OC(=O)NCC(=O)O, Nc1ccnc(N)n1, Nc1cccc(F)c1, O=C1OC(=O)c2ccccc21"
1266200,Cc1ccc(NC(=O)NCc2cc(OC(=O)Nc3cccc(NC(=O)c4ccccc4)n3)ccn2)cc1O,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1266200/input_pdb_1266200.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1266200/input_pdbqt_1266200.pdbqt,AI-Designed,SMALL_MOLECULE,15,Alcohol,C27H24N6O5,2.5254903776137105,512.1808178680001,4.675520000000003,1,2,2,1,1,5,5,7,7,38,141.21809999999988,154.57,0,38,4,98,195,True,,True,,-13.0,-11.8,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1266200/AutoDockVinaDockingLogOutputFile_1266200.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1266200/AutoDockVinaDockingConfigurationPDBQTOutputFile_1266200.pdbqt,0.9634470710684996,True,5,5,"Nc1cccc(NC(=O)c2ccccc2)n1, Cc1ccc(N)cc1OCc1ccccc1, O=C(Cl)Oc1ccccc1, N#Cc1cc(O)ccn1, O=C(Cl)Cl"
1268807,Cc1ccc(NC(=O)NCc2ccc(C(=O)Nc3nc(N)cc(Nc4cc(C)nc(C(C)C)n4)n3)nc2)cc1,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268807/input_pdb_1268807.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268807/input_pdbqt_1268807.pdbqt,AI-Designed,SMALL_MOLECULE,18,Amine,C27H30N10O2,2.7700934962850834,526.2553202000001,4.301640000000003,1,2,2,1,1,5,5,9,8,39,149.81269999999984,172.72999999999996,0,39,4,98,195,True,,True,,-12.9,-11.833333333333336,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268807/AutoDockVinaDockingLogOutputFile_1268807.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1268807/AutoDockVinaDockingConfigurationPDBQTOutputFile_1268807.pdbqt,0.9865529289315002,True,4,3,"Cc1cc(N)nc(C(C)C)n1, Nc1cc(Cl)nc(N)n1, COC(=O)c1ccc(CN)cn1, Cc1ccc(N=C=O)cc1"
1261206,Cc1cccc(NC(=O)N2CCN(C(=O)Nc3cccc(NC(=O)c4ccccc4)n3)CC2)c1,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1261206/input_pdb_1261206.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1261206/input_pdbqt_1261206.pdbqt,AI-Designed,SMALL_MOLECULE,10,,C25H26N6O3,2.1687980468971126,458.206638692,4.023920000000002,0,1,1,0,0,4,3,4,4,34,130.9946,106.67,0,34,4,98,195,True,,True,,-12.9,-12.25,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1261206/AutoDockVinaDockingLogOutputFile_1261206.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1261206/AutoDockVinaDockingConfigurationPDBQTOutputFile_1261206.pdbqt,0.9865529289315002,True,4,3,"O=C(Cl)c1ccccc1, Cc1cccc(NC(=O)N2CCNCC2)c1, Nc1cccc(N)n1, O=C(Cl)Oc1ccccc1"
1264852,Cc1cccc(CNC(=O)Cc2ccnc(NC(=O)c3cccc(NC(=O)c4ccccc4)n3)n2)c1,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1264852/input_pdb_1264852.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1264852/input_pdbqt_1264852.pdbqt,AI-Designed,SMALL_MOLECULE,14,,C27H24N6O3,2.3534439437828283,480.190988628,3.543520000000002,0,2,2,0,0,4,3,6,8,36,135.34709999999993,125.97,0,36,4,98,195,True,,True,,-12.9,-11.7,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1264852/AutoDockVinaDockingLogOutputFile_1264852.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1264852/AutoDockVinaDockingConfigurationPDBQTOutputFile_1264852.pdbqt,0.9634470710684996,True,4,5,"O=C(Cl)c1ccccc1, CC(C)(C)OC(=O)Nc1cccc(C(=O)O)n1, Cc1cccc(CN)c1, CCOC(=O)Cc1ccnc(N)n1"
1259363,Cc1ccc(Nc2cnc(Nc3nccc(Nc4ccc(C)c(C)n4)n3)cn2)cc1OC1CCN(C(=O)c2ccc(N3CCCN(C(=O)c4ccco4)CC3)nn2)C1,,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1259363/input_pdb_1259363.pdb,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1259363/input_pdbqt_1259363.pdbqt,AI-Designed,SMALL_MOLECULE,8,Amine,C41H43N13O4,3.9702242511535015,781.3560968559999,5.846660000000004,3,4,3,2,5,4,3,15,11,58,217.21209999999945,192.55,0,58,8,98,195,True,,True,,-12.8,-11.544444444444444,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1259363/AutoDockVinaDockingLogOutputFile_1259363.txt,LIME_OUTPUTS/User_willspag_Project_Tuberculosis_ino1_Scripps_Target_UUID_17228daa-6185-473e-8c62-b1f2877895f7/RUN_195/DRUG_CANDIDATES/1259363/AutoDockVinaDockingConfigurationPDBQTOutputFile_1259363.pdbqt,0.9523712936588784,True,8,7,"O=C(Cl)c1ccc(Cl)nn1, O=C(c1ccco1)N1CCCNCC1, Cc1ccc([N+](=O)[O-])cc1O, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, Nc1cnc(Cl)cn1, Cc1ccc(N)nc1C, Clc1ccnc(Cl)n1, O=C1CCNC1"
